	GSM1525024		GSM1525025		GSM1525026		GSM1525027		GSM1525028		GSM1525029		GSM1525030		GSM1525031		
ID_REF 	SAMPLE 1	Detection Pval	SAMPLE 2	Detection Pval	SAMPLE 3	Detection Pval	SAMPLE 4	Detection Pval	SAMPLE 5	Detection Pval	SAMPLE 6	Detection Pval	SAMPLE 7	Detection Pval	SAMPLE 8	Detection Pval	
ILMN_3118081	58.1557	0.1378446	58.27282	0.1265664	56.5819	0.2606516	58.67009	0.1328321	58.52519	0.5639098	71.54681	0.3308271	82.25319	0.5726817	128.2957	0.4285714	
ILMN_3043178	52.71313	0.2343358	53.32764	0.1942356	56.37593	0.2681704	50.19487	0.3295739	52.67622	0.8095238	65.00988	0.4736842	93.06153	0.4598998	103.5426	0.7593985	
ILMN_2702839	47.58447	0.4448622	51.85826	0.2243108	52.11545	0.4348371	44.28732	0.79198	50.5196	0.89599	59.23028	0.6666667	76.45881	0.6654136	119.0172	0.556391	
ILMN_2661005	1182.781	0	1223.028	0	1193.938	0	1220.2	0	1996.485	0	2148.131	0	2854.806	0	2039.767	0	
ILMN_2674655	178.6001	0	184.5386	0	160.346	0	185.8066	0	267.9315	0	373.723	0	495.9477	0	397.8667	0	
ILMN_2647669	189.5037	0	172.9876	0	141.7029	0	157.9921	0	201.0562	0	294.7987	0	482.3747	0	373.5941	0	
ILMN_2698637	49.70992	0.3370927	52.45707	0.2092732	54.83389	0.3145363	49.70504	0.3533835	68.18952	0.3157895	76.14421	0.2944862	94.95884	0.443609	149.0872	0.2593985	
ILMN_2637066	411.3722	0	349.2208	0	326.486	0	297.3769	0	649.7003	0	646.4711	0	834.8013	0	669.1473	0	
ILMN_2849359	570.6309	0	454.47	0	443.2386	0	466.2674	0	840.8979	0	988.5701	0	1163.437	0	943.9422	0	
ILMN_2614983	43.85897	0.6817043	46.55236	0.4486215	55.06358	0.3095238	47.43064	0.5250627	50.80778	0.8922306	56.83667	0.7744361	72.60526	0.7293233	100.2172	0.8120301	
ILMN_1237830	49.85312	0.3320802	45.87077	0.4799499	47.86161	0.697995	43.78443	0.8145363	71.09541	0.2869674	73.68063	0.320802	120.3773	0.3082707	118.2681	0.5651629	
ILMN_3142224	8527.504	0	7067.042	0	7824.191	0	7605.631	0	11813.49	0	12672.79	0	14554.96	0	11294.49	0	
ILMN_2636384	7508.928	0	7634.658	0	7584.112	0	6817.177	0	12218.44	0	12300.95	0	14373.22	0	10807.08	0	
ILMN_1243516	48.91451	0.3659148	41.93225	0.7543859	47.39464	0.7230576	43.48873	0.8320802	51.58659	0.8546366	55.71063	0.8358396	50.05276	0.9974937	91.6962	0.9072682	
ILMN_2710151	467.9915	0	423.3618	0	335.2403	0	360.6392	0	583.9142	0	776.2235	0	977.382	0	660.981	0	
