gene	UT1	UT2	Ab1	Ab2	L1	L2	LAb1	LAb2
Brms1l	7.53956416	7.350398404	8.089363135	7.847210946	2.054623742	3.187315366	2.480282742	2.905165168
Cyb561a3	6.345169266	5.639026009	3.469911558	5.998215833	3.360397416	3.609032008	3.78520825	3.374990371
Rfxap	14.60754898	13.05025088	12.93148629	13.52282496	9.208258659	9.977897454	9.854570412	9.8543155
Lrrc57	6.259905758	5.717412747	6.035975337	5.242137063	4.912956522	4.63402818	4.200430158	5.606616359
Grk2	62.60042549	62.59800046	62.04963733	55.58939096	54.72628641	51.25096701	56.46362884	52.39137539
Eef1akmt4	4.285322291	2.851408203	2.935649034	6.239906676	3.661819722	3.996275076	4.438012655	3.427936554
Ddx59	3.595425752	3.693110407	4.113782666	3.847139506	2.012441582	2.455910447	2.298278244	2.291340957
Mars1	70.73670788	59.50365559	53.16693013	67.35030343	52.42607836	53.7855178	58.157895	50.92524258
Cct2	308.2638446	288.5786695	335.5819204	314.3858542	351.0801451	345.7585338	346.5695084	369.0935365
Rad51b	2.166123918	1.78547127	1.96117034	2.453399449	1.568777097	1.226878267	1.527861114	1.343281902
Rmdn2	0.425407566	0.39958877	0.444839388	0.338334712	0.6631339	0.644466088	0.762892071	0.579822159
Scly	11.03804515	10.42346147	12.85683293	8.767658833	4.130320347	4.153384317	4.511757461	3.993879178
Cpsf7	12.31731073	13.69818505	12.12160985	9.632757329	6.344092669	7.169486662	6.65264131	7.221988058
Ybx3	161.0945848	158.9387999	199.7548964	140.0172074	196.3255205	183.0041799	194.4689597	194.9874939
Gm46430	1.14605556	1.326110118	1.839062121	2.145521803	0.650632062	1.033882544	0.870049051	0.8594319
Zfp944	2.484378655	2.770160201	4.063608516	4.668994721	1.976702603	1.77433437	1.568411387	2.282728603
Slc25a51	14.42413606	13.31068963	8.959037459	12.07047463	7.818656	8.165625959	8.672545138	7.737813908
Gm10036	14.3315985	8.148212041	7.426670401	24.73328119	21.95255653	16.67440026	21.56002987	18.09647056
Metrnl	11.49712227	10.31439631	8.725536743	13.39227347	26.56776088	26.63275875	29.81006101	24.80810045
Ywhae	347.252632	372.2620407	496.1854205	306.7290063	267.0657157	260.8223995	252.101557	289.8350012
Rp9	13.71275072	12.56700622	20.28233212	15.51586878	8.510151431	8.738352224	9.015188962	8.691294507
Speg	2.483030939	2.305174657	1.464589139	1.966568854	3.30459978	3.60170353	3.719742027	3.369784078
S1pr2	4.381368103	3.772115069	2.676208174	3.539059188	2.263188961	2.295313197	2.550211945	2.129205767
Clk1	5.355025415	7.110185199	9.073479334	9.16422338	10.88368448	11.21452746	10.01095429	12.67170976
Ncstn	22.67878662	22.30654844	23.54037691	16.21878727	17.74783657	19.27377906	19.85903412	18.14135345
Dnajc22	5.28266976	4.27425389	2.662699034	4.502046274	4.303591048	4.124250715	5.365805408	3.283645214
Gnai2	210.4738569	191.1805784	227.8062801	166.2841247	113.6343	113.6477399	114.6927856	118.5642762
Hgsnat	17.35616401	16.23303435	16.51513148	14.88309318	18.76926978	20.79151874	20.7725076	19.82827997
Dis3l	3.712802596	4.589039397	4.799455847	2.924258283	2.049354409	2.055090949	2.133361329	2.078737995
3110070M22Rik	0.824517209	0.676989238	0.773750935	0.891973332	0.474217847	0.763673689	0.461889431	0.808371074
Btbd19	1.70257683	1.781407478	1.666387923	1.732102947	2.331316652	2.313362897	2.152144689	2.613828166
C3	2.532490198	2.424208555	1.870967344	1.084144673	2.988472988	2.462376196	2.798234482	2.794823652
Ptp4a2	58.46718678	62.86045371	78.21716435	63.83313938	32.03103024	30.72655131	28.89652222	35.49125284
Orc4	4.085354613	5.170371413	5.902500152	6.836057848	10.08587221	10.67973795	8.975059198	12.32818202
Gpbp1	14.85962244	16.00305474	18.77220444	23.31858286	25.63342779	25.87568955	23.48158855	29.35597579
Armc10	16.28816145	17.36390958	17.49104613	17.00486946	15.37828024	14.42493749	14.46735274	16.10202759
Lamp1	358.2246902	338.0922216	456.9945265	332.7280316	167.5379449	161.8392697	167.199749	170.6413396
Dnaja3	33.06893859	31.90605976	26.74734409	23.87815393	19.1324031	20.00239425	20.30008181	19.83823786
Nans	38.21623004	34.36720127	32.68758886	39.29106639	22.62915946	21.69330055	22.91170333	22.543253
Zfp760	1.694485558	2.00127605	2.172085873	2.62046625	1.280391943	1.678195157	1.390983752	1.643112853
Stx1a	0.559299251	0.622494905	0.501073731	0.535929291	0.763385194	0.637292281	0.742237994	0.694096164
Hmces	13.77681097	11.44197647	8.716230064	16.16997762	10.64788777	9.960178944	10.84231717	10.28989139
Srsf5	69.99037282	69.42565376	63.50308942	71.75045914	34.302154	34.86767846	32.87977663	38.04858338
Rrnad1	5.087522998	5.416106048	4.321358478	4.953626699	5.945743669	6.007903512	5.796796112	6.460392534
