"","UT1","UT2","Ab1","Ab2","L1","L2","LAb1","LAb2"
"Ap5b1",6.10750077448238,6.13123831564863,5.83841033759863,5.68276266560433,3.74238868448102,4.23785577154632,4.63299260394194,4.3543476493994
"Creb3l1",3.33744654674613,3.51762781095456,3.93958103201453,3.26645260110459,2.82376767516211,2.93324485577491,3.03568561986204,2.99950866025248
"Slpi",6.13207690831585,5.67895913216346,5.58293420284206,6.63692102601943,10.2941925971467,10.1506656577722,11.0384300374994,10.8601612188133
"Gm10163",2.97864610458634,2.99797602859097,3.28423138239591,3.1099962095608,2.87875299011581,3.14951806137516,3.30963436827653,3.12690702125291
"Cort",3.02269139834292,3.26498349554016,3.1719797532284,3.32696650436012,3.04724918920746,3.04479267000674,3.42075059215742,3.0728860641215
"1810021B22Rik",3.52388530240769,3.38523958707511,3.25145601218488,3.57785499785437,3.1015398002024,3.19685139527949,3.34316126878777,3.46356263427873
"Inka1",5.48122817084265,5.28781922272681,4.91841902472685,5.53616645078901,4.84911716325027,5.16445159026738,5.71630561708524,5.50764826292539
"H2-Eb1",3.09729873570437,2.90376812374527,2.9066730486547,3.04093985857549,3.03658370047508,2.98914986451444,3.14875788475182,3.27331181492332
"Id3",4.70134623322222,4.43916425652342,4.38489170454482,5.40628376410192,5.75183092970292,5.96498033931715,6.69170620647575,6.30411963396748
"Snora62",4.0442449172618,2.9194311059993,3.21446834145937,4.01007075545869,3.14959967674869,3.24986432733171,3.56877421725234,3.36112588646967
"Mrto4-ps1",3.25385075023277,3.21229345020652,3.23018324656529,3.32502877024277,3.31020666888521,3.27649330402663,3.63716390763085,3.54877789506594
"Gm22935",4.89581166336669,5.0878952382399,5.36571224052754,4.07455879116105,3.57463485921453,3.38728120034729,3.6450806697377,4.02181388625335
"Hspa8",10.583543314681,10.6710717404651,11.4241109749445,10.8483701281749,10.2408574200672,10.1500235007118,10.8387129358068,10.954605840999
"Gm4540",3.35377509301845,3.39569709394491,3.87912296632853,3.66971787615932,3.16753654542523,3.2875698846702,3.51726751471149,3.4869699718827
"Gm13337",4.76932350272087,4.83975831295667,4.80767932138089,4.21481587527071,3.71397382218119,4.01029471467982,4.273880009348,4.34059531387502
"Wrap53",5.31260451072464,5.23954865300484,5.038623388864,5.26756508219817,4.35728502250823,4.52261091989084,4.99522643319411,4.93585626862809
"Rpp38",5.19601620972809,5.15502677689441,5.50486682910254,5.64651927666389,4.98731842650397,5.0948391335752,5.57192359400068,5.67395551099134
"Rsph1",3.53933310546837,3.3536246314077,3.39128935699767,3.28614567653206,2.98483182751162,2.98920320883558,3.16179209234117,3.16755625259017
"Hpdl",3.70201264446411,3.71801181944307,3.08105658031136,3.81465200708732,2.97584852050876,3.01792967338431,3.23818130992404,3.11424715345077
"Tha1",2.79124480255679,2.82458030333418,2.81400844890062,2.92290525208925,3.2653084520944,3.21814017303375,3.49569831197592,3.53572151075455
"Ercc1",4.3722016566815,4.22636887096662,4.10772595263665,4.18972888426293,5.35583987388387,5.25530173159538,5.97714361745309,5.82746276308262
"Sh2d5",3.2800900636554,3.34257717109511,3.02505341057201,3.28242382019169,3.25728951637283,3.21977058165544,3.58264684856005,3.43316660412593
"Ifit1",3.06943678048613,2.95021033103143,3.07988106480012,3.06809586488933,3.97697235818537,3.93836684367034,4.29536855737672,4.51375010835279
"Klhl36",4.20753358211676,4.24683793752072,3.81126688588092,4.19759325033033,3.0916461065776,3.23397456120741,3.36715846783118,3.44834731009805
"Mir6973a",4.16987028059637,3.6570468627579,3.77916322065767,3.62023262786708,3.78762341693513,3.32089238983444,3.8080186954349,4.06788823944215
"Mrps12",6.22373973772331,5.70101198033809,5.21604927127182,6.29272464358867,5.18637209833149,5.28295456012713,5.90660744301006,5.72895509581941
"Dnaja1",6.16863400517985,6.28741761219359,6.54779976785674,6.67670369290235,5.77597937132937,5.88188853102145,6.26513105041247,6.61201212005976
"Mmp9",2.98921631660094,2.9032166481191,3.10087278467429,2.97234217576522,6.29307588389917,6.37684239012748,7.06196488871436,6.8502144959787
"Ovca2",3.61288590823237,3.38728452207777,3.23163620648799,3.44844226215779,2.87490923706674,2.89133741660844,3.0019869946713,3.01731812593269
"Egln2",5.80804960867361,5.62459388305269,5.21632652184209,5.91294858422082,4.69811516221292,4.77215984274245,5.40760020327768,5.10692051997428
"Gpr65",4.1913250221778,4.15456326074617,4.64666867736895,4.62699005271345,4.12882187229895,4.3283784109809,4.59189569533576,4.8118921519476
"Pfkfb1",3.26924188811731,3.29273944581785,3.28869374031296,3.27962159011272,2.95864128646891,3.06144019255052,3.20745829469385,3.16750993423966
