gene_id	GCK1.1	GCK2	GCK3	control1.1	control2	control3	dex1.1	dex2	dex3
ENSG00000235912.1_5	55	22	15	32	45	33	33	9	23
ENSG00000108958.4_5	79	78	85	55	29	62	62	33	141
ENSG00000122386.10_3	0	0	0	0	0	0	4	0	0
ENSG00000260104.1_5	0	0	0	0	0	0	0	0	0
ENSG00000266647.1_5	0	0	0	0	0	0	0	0	0
ENSG00000251710.1	0	0	0	0	0	0	0	0	0
ENSG00000116670.15_7	1156	630	571	1018	515	751	701	527	716
ENSG00000137825.11_5	5	0	0	5	8	10	0	16	8
ENSG00000279070.2_7	0	0	0	0	0	0	0	0	0
ENSG00000165338.16_5	0	13	15	12	10	8	19	29	24
ENSG00000222108.1_1	0	0	1	0	0	0	0	0	0
ENSG00000261604.1_6	0	0	0	0	0	0	0	0	0
ENSG00000163171.8_4	361	670	287	845	195	456	696	620	370
ENSG00000189375.12_7	0	0	0	0	0	0	0	0	0
ENSG00000230679.1_6	11	12	3	16	9	5	5	3	3
ENSG00000180209.12_5	8	5	0	5	0	16	0	0	0
ENSG00000282961.1_3	13	7	8	12	20	12	10	5	11
ENSG00000099974.8_5	70	595	59	344	342	422	386	450	91
ENSG00000286249.1_3	0	0	0	0	0	0	0	0	0
ENSG00000225079.2_5	0	0	0	0	0	0	0	0	0
ENSG00000250304.2_5	0	0	0	0	0	0	0	0	0
ENSG00000163482.12_7	137	108	90	230	118	161	150	179	145
ENSG00000253275.1_6	0	0	0	0	0	0	0	0	0
ENSG00000226010.1_6	0	0	0	0	0	0	0	0	0
ENSG00000124942.14_9	3346	1913	1129	3595	1099	1825	4788	1612	2381
ENSG00000266975.1_6	0	3	0	0	2	0	3	0	0
ENSG00000228318.3_9	0	0	0	0	0	0	0	0	0
ENSG00000106948.16_5	30	52	10	25	0	38	23	20	10
ENSG00000287494.1_2	0	0	0	0	11	0	0	5	0
ENSG00000160877.6_6	0	0	6	0	0	0	0	0	12
ENSG00000223542.1_7	0	0	0	0	0	0	12	0	0
ENSG00000239719.1_5	0	0	0	0	0	0	0	0	0
ENSG00000268584.1_6	28	15	14	83	25	24	38	56	32
ENSG00000283285.1_6	0	0	0	0	0	0	0	0	0
ENSG00000287887.1_1	0	0	0	0	0	0	0	0	0
ENSG00000226213.1_4	0	0	0	0	0	0	0	0	0
ENSG00000273248.1_7	0	0	0	0	0	0	0	0	0
ENSG00000285549.1_3	0	0	0	0	0	0	0	0	0
ENSG00000173464.14_9	0	0	0	0	0	0	0	0	0
ENSG00000259874.1_5	0	0	0	0	0	0	0	0	0
ENSG00000227693.1_4	0	0	0	0	0	0	0	0	0
ENSG00000258469.1_4	0	0	0	0	0	0	0	0	0
ENSG00000283076.1_6	0	0	0	0	0	0	0	0	0
ENSG00000070770.9_6	2791	1946	1720	7881	1037	4245	194	5622	3034
ENSG00000265698.1_4	0	0	0	0	0	0	0	0	0
ENSG00000260258.2_6	0	0	0	0	0	0	0	0	0
ENSG00000167815.12_6	118062	128389	51978	104098	124988	81667	97217	101094	60760
ENSG00000226390.1_7	0	0	0	0	0	0	0	0	0
ENSG00000169231.13_5	875	379	203	861	391	600	710	439	308
ENSG00000224192.2_8	0	0	0	0	0	0	0	0	0
ENSG00000253359.1_3	0	0	0	0	0	0	0	0	0
ENSG00000284452.1_1	0	0	0	0	0	0	0	0	0
ENSG00000258718.3_8	0	0	0	0	0	0	0	0	0
ENSG00000150433.9_7	1610	1073	961	1906	1041	1042	1205	1243	1150
ENSG00000266135.1	0	0	0	0	0	0	0	0	0
ENSG00000286224.1_2	1	1	1	1	1	1	1	1	0
ENSG00000053501.13_5	3216	1532	1233	2881	1759	1594	2903	2049	1448
ENSG00000258550.1_2	0	0	0	0	0	0	0	0	0
